state_name,alc__alcohol_hs,alc__binge_adult,alc__binge_hs,arth__activity_limit_arth,arth__arth_adult,arth__self_mgmt_class_arth,arth__inactive_arth,arth__pa_counsel_arth,arth__severe_joint_pain_arth,arth__work_limit_arth_18_64,asth__asthma_adult,can__screen_cervical_w21_65,can__screen_colorectal_45_75,can__mammo_w50_74,cvd__hbp_adult,cvd__high_chol_screened_adult,cvd__med_high_chol_adult,cvd__med_hbp_adult,copd__copd_adult,copd__smoking_copd_adult,cog__scd_discussed_hcp_45plus,cog__caregiver_friend_family_adult,cog__caregiver_dementia_adult,cog__scd_45plus,dm__diabetes_adult,dm__gest_diabetes_recent_birth,dis__any_disability_adult,hs__chronic2plus_adult,hs__fair_poor_health_adult,hs__phys_distress_freq_adult,imm__flu_vax_adult,imm__flu_vax_risk_18_64,imm__pneumo_vax_risk_18_64,imm__pneumo_vax_65plus,mat__postpartum_check_recent_birth,mh__depression_adult,mh__mental_distress_freq_adult,mh__postpartum_depr_recent_birth,npaw__pa_guideline_6_13,npaw__fruit_lt1_daily_adult,npaw__fruit_lt1_daily_hs,npaw__soda_ge1_daily_hs,npaw__veg_lt1_daily_adult,npaw__veg_lt1_daily_hs,npaw__breastfed_12m,npaw__exclusive_breastfed_6m,npaw__pa_guideline_hs,npaw__pa_guideline_adult,npaw__no_leisure_pa_adult,npaw__obesity_wic_2_4,npaw__obesity_adult,npaw__obesity_hs,oral__all_teeth_lost_65plus,oral__no_teeth_lost_18_64,oral__prev_dental_pre_preg_recent_birth,oral__prev_dental_child_1_17,oral__teeth_lost_6plus_65plus,oral__dentist_visit_past_year_adult,oral__dentist_visit_child_1_17,sleep__short_sleep_adult,sleep__short_sleep_child_4m_14y,sleep__short_sleep_hs,sdoh__food_insecure_household,sdoh__ins_after_preg_recent_birth,sdoh__ins_before_preg_recent_birth,sdoh__hs_completion_18_24,sdoh__no_ins_18_64,sdoh__poverty_lt150_all,sdoh__no_broadband_household,sdoh__routine_checkup_adult,sdoh__unemployment_16plus_lf,tob__smoking_preg_recent_birth,tob__cig_smoking_adult,tob__vape_hs,tob__smokeless_hs,tob__any_tobacco_hs,tob__quit_attempt_adult_smokers
Alabama,14.05,11.375,8.97,19.1,30.900000000000002,16.65,35.55,54.05,43.650000000000006,43.55,13.7,85.7,69.6,77.5,42.7,40.05,48.5,84.1,8.399999999999999,43.06666666666666,42.0,22.7,23.9,14.2,20.1,8.299999999999999,34.85,26.575,24.35,9.775,37.3,36.9,29.1,70.05,87.76666666666667,21.95,18.75,20.400000000000002,24.8,44.35,10.3,19.68,24.95,9.4,24.85,20.4,27.1,49.6,30.15,13.2,36.925,12.600000000000001,20.450000000000003,46.0,33.766666666666666,25.35,41.3,61.3,79.6,44.3,43.65,77.2,13.1,46.53333333333333,72.56666666666666,92.05000000000001,14.575,30.549999999999997,16.6,71.175,6.7,9.466666666666667,16.75,21.2,3.95,25.7,57.45
Alaska,18.75,19.35,9.67,12.0,25.2,17.4,21.55,67.95,23.450000000000003,40.3,11.525,73.3,60.2,67.85,36.75,41.45,28.5,66.85,8.375,34.9,36.9,21.5,21.2,7.4,10.95,19.3,25.675,18.849999999999998,14.4,11.55,42.375,43.125,23.75,57.85,82.65,17.025,13.025,15.65,36.0,45.25,8.36,13.81,17.95,7.5,51.5,31.049999999999997,21.85,52.7,19.625,14.1,33.075,16.28,11.25,60.35,50.2,49.55,41.15,63.0,75.0,35.150000000000006,32.0,77.89,9.5,84.55,83.2,80.35,10.375,26.15,11.6,69.025,6.3,16.7,20.675,23.240000000000002,7.92,30.6,42.15
Arizona,27.9,16.025,12.899999999999999,5.4,25.566666666666666,24.049999999999997,31.299999999999997,61.75,28.299999999999997,41.9,12.7,76.3,50.7,75.85,34.7,37.05,25.5,57.25,6.575,29.76666666666667,39.05,16.9,30.6,12.4,14.8,11.649999999999999,33.175,17.4,18.575,13.775,38.225,35.825,27.325,72.0,88.70000000000002,17.275,17.625,13.290000000000001,17.25,39.9,10.1,14.85,16.75,6.699999999999999,38.599999999999994,24.75,18.2,63.8,27.475,9.2,41.7,12.75,23.0,67.69999999999999,50.28,45.1,28.2,62.400000000000006,82.4,31.8,22.35,82.4,10.1,91.25,89.57999999999998,85.75,11.9,27.65,10.55,71.075,5.3,8.3,15.049999999999999,20.75,2.65,23.55,55.85
Arkansas,26.0,8.4,9.75,11.9,26.899999999999995,14.149999999999999,33.65,71.69999999999999,33.55,53.9,9.625,81.0,59.0,73.15,45.849999999999994,44.3,40.900000000000006,89.1,6.425000000000001,51.833333333333336,46.7,27.8,30.8,12.2,21.975,10.333333333333334,39.45,20.675,28.55,13.850000000000001,34.475,45.3,28.65,71.7,83.93333333333334,29.775,22.5,22.3,24.9,34.400000000000006,13.100000000000001,22.85,21.3,12.45,27.95,22.1,26.2,57.4,35.25,19.1,32.2,18.200000000000003,20.4,61.3,23.866666666666664,44.3,40.9,56.15,76.9,41.0,41.95,76.9,15.0,87.16666666666667,87.59999999999998,90.05000000000001,21.53333333333333,28.5,17.0,68.23333333333333,4.85,9.766666666666667,14.275,10.95,4.8,19.6,53.833333333333336
California,26.39,13.975,7.89,7.35,30.266666666666666,17.75,34.65,70.3,35.4,38.15,10.35,82.9,46.3,73.55000000000001,29.35,30.65,32.7,82.0,5.225,22.400000000000002,39.5,22.6,25.4,7.95,16.075,12.33,30.8,15.924999999999999,15.725,13.175,41.725,45.25,31.549999999999997,61.375,88.48,15.7,14.925,12.970000000000002,22.049999999999997,34.95,6.15,12.15,28.549999999999997,5.499999999999999,45.650000000000006,30.35,19.769999999999996,68.3,17.625,16.4,26.975,14.55,8.15,72.19999999999999,37.18,36.650000000000006,24.15,69.7,80.5,36.15,26.4,72.89,9.6,85.39,80.63000000000001,92.05,13.350000000000001,27.6,8.6,68.425,6.35,5.33,11.075000000000001,20.21,1.1600000000000001,21.54,62.1
Colorado,30.85,18.75,14.0,8.65,29.0,15.7,24.25,65.9,35.0,46.150000000000006,9.45,82.6,54.6,72.05000000000001,16.15,37.900000000000006,27.85,50.15,5.4,27.933333333333334,43.4,19.5,26.1,11.4,7.45,8.533333333333333,22.975,17.25,14.2,9.4,45.0,45.875,30.475,67.65,90.5,20.925,14.55,13.433333333333332,28.25,38.900000000000006,6.35,13.02,25.85,3.9,41.1,30.4,24.8,58.9,17.5,6.9,27.1,11.9,7.25,71.8,35.800000000000004,49.65,37.650000000000006,66.05,85.65,35.3,24.799999999999997,72.45,10.5,91.53333333333335,94.36666666666667,89.55000000000001,15.199999999999998,19.1,7.95,72.03333333333333,5.1,5.033333333333333,12.875,19.049999999999997,5.6,22.82,61.7
Connecticut,27.549999999999997,14.625,7.3,9.7,28.96666666666667,12.45,29.6,66.0,28.799999999999997,46.150000000000006,12.2,87.3,66.8,78.6,25.400000000000002,32.45,32.4,75.6,6.0,30.23333333333333,50.45,16.1,27.4,8.25,11.2,17.466666666666665,23.025,21.5,17.075,12.399999999999999,60.325,50.575,26.125,72.1,90.43333333333334,16.225,16.525,12.166666666666666,25.25,38.150000000000006,8.25,13.77,23.9,8.75,35.55,22.85,26.45,54.4,21.275,16.5,30.075000000000003,12.8,9.05,69.55,42.233333333333334,51.2,24.85,73.3,80.65,42.15,29.1,77.45,9.6,88.0,89.63333333333333,90.4,9.799999999999999,23.849999999999998,9.65,82.7,6.4,2.3666666666666667,10.6,15.149999999999999,2.25,13.5,65.45
Delaware,17.21,16.475,10.009999999999998,11.049999999999999,23.73333333333333,12.25,38.3,70.2,29.05,42.4,9.05,83.2,51.400000000000006,77.75,37.5,44.599999999999994,30.1,59.7,5.9,33.199999999999996,44.5,8.3,28.2,10.1,15.25,17.566666666666666,28.4,21.525,18.075,11.725,47.175,41.25,28.5,68.95,91.43333333333334,14.75,13.55,5.166666666666667,25.1,31.95,7.83,14.43,16.5,8.6,31.2,23.45,21.590000000000003,42.7,23.7,14.8,36.875,16.6,12.9,65.15,30.8,47.5,29.65,67.15,82.3,38.150000000000006,34.900000000000006,82.21000000000001,11.2,97.23333333333333,83.73333333333333,85.8,27.425,24.9,9.25,81.225,4.85,6.6000000000000005,11.675,15.039999999999997,4.5600000000000005,20.94,52.95
District of Columbia,20.299999999999997,19.8,12.15,6.1,8.5,17.15,34.599999999999994,77.7,22.099999999999998,35.65,15.775,86.6,67.7,74.7,24.049999999999997,33.9,29.45,47.3,4.2,29.866666666666664,43.3,19.11632653061224,23.883673469387748,6.8,10.725,5.866666666666667,17.4,15.525,9.475,10.425,59.900000000000006,55.35,26.85,70.125,94.89999999999999,18.125,12.524999999999999,14.533333333333333,19.1,30.25,8.2,14.600000000000001,19.2,7.659999999999999,38.4,28.65,17.25,44.0,16.35,18.7,20.575,12.100000000000001,13.450000000000001,86.95,40.53333333333333,50.95,31.9,67.65,83.15,31.75,18.25,76.1,9.0,98.39999999999999,89.7,95.44999999999999,4.7,14.0,11.25,83.275,5.75,3.766666666666667,12.175,9.75,4.7,21.45,66.55000000000001
Florida,24.9,14.68,14.0,10.82,29.746666666666666,16.46,30.89,70.33,40.25,43.43,8.95,81.6,68.9,76.0,33.69,36.67,29.56,76.11,7.87,36.07333333333333,48.7,20.80816326530612,23.991836734693877,11.0,10.36,11.0,27.195,27.925,16.96,14.41,38.975,38.875,31.67,63.040000000000006,89.4,19.07,15.274999999999999,16.05,26.05,40.36,8.1,15.850000000000001,18.55,12.1,28.9,20.2,22.35,55.6,23.88,13.1,30.630000000000003,14.399999999999999,13.25,53.25,36.75,34.0,30.55,57.849999999999994,82.25,42.55,47.3,81.4,9.9,85.94999999999999,74.15,86.4,19.455,21.3,11.3,79.72,4.55,4.15,17.814999999999998,18.57,5.09,24.94,50.23333333333333
