yr_start,yr_end,state_abbr,state_name,alc__alcohol_hs,alc__binge_adult,alc__binge_hs,arth__activity_limit_arth,arth__arth_adult,arth__self_mgmt_class_arth,arth__inactive_arth,arth__pa_counsel_arth,arth__severe_joint_pain_arth,arth__work_limit_arth_18_64,asth__asthma_adult,can__screen_cervical_w21_65,can__screen_colorectal_45_75,can__mammo_w50_74,cvd__hbp_adult,cvd__high_chol_screened_adult,cvd__med_high_chol_adult,cvd__med_hbp_adult,copd__copd_adult,copd__smoking_copd_adult,cog__scd_discussed_hcp_45plus,cog__caregiver_friend_family_adult,cog__caregiver_dementia_adult,cog__scd_45plus,dm__diabetes_adult,dm__gest_diabetes_recent_birth,dis__any_disability_adult,hs__chronic2plus_adult,hs__fair_poor_health_adult,hs__phys_distress_freq_adult,imm__flu_vax_adult,imm__flu_vax_risk_18_64,imm__pneumo_vax_risk_18_64,imm__pneumo_vax_65plus,mat__postpartum_check_recent_birth,mh__poor_mh_hs,mh__depression_adult,mh__mental_distress_freq_adult,mh__postpartum_depr_recent_birth,npaw__pa_guideline_6_13,npaw__fruit_lt1_daily_adult,npaw__fruit_lt1_daily_hs,npaw__soda_ge1_daily_hs,npaw__veg_lt1_daily_adult,npaw__veg_lt1_daily_hs,npaw__breastfed_12m,npaw__exclusive_breastfed_6m,npaw__pa_guideline_hs,npaw__pa_guideline_adult,npaw__no_leisure_pa_adult,npaw__obesity_wic_2_4,npaw__obesity_adult,npaw__obesity_hs,oral__all_teeth_lost_65plus,oral__no_teeth_lost_18_64,oral__prev_dental_pre_preg_recent_birth,oral__prev_dental_child_1_17,oral__teeth_lost_6plus_65plus,oral__dentist_visit_past_year_adult,oral__dentist_visit_child_1_17,sleep__short_sleep_adult,sleep__short_sleep_child_4m_14y,sleep__short_sleep_hs,sdoh__food_insecure_household,sdoh__ins_after_preg_recent_birth,sdoh__ins_before_preg_recent_birth,sdoh__hs_completion_18_24,sdoh__no_ins_18_64,sdoh__no_transport_adult,sdoh__no_social_emotional_support_adult,sdoh__poverty_lt150_all,sdoh__no_broadband_household,sdoh__routine_checkup_adult,sdoh__housing_utility_payment_issue_adult,sdoh__unemployment_16plus_lf,tob__smoking_preg_recent_birth,tob__cig_smoking_adult,tob__vape_hs,tob__smokeless_hs,tob__any_tobacco_hs,tob__quit_attempt_adult_smokers
2018,2019,AK,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,,,,,,,,,,,,,,47.0,,,88.4,,33.7,,,,,,,,,,,,,,,,,,,
2018,2019,AL,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,,,,,,,,24.2,,,84.3,,40.9,,,,,,,,,,,,,,,,,,,
2018,2019,AR,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,41.3,,,77.9,,37.5,,,,,,,,,,,,,,,,,,,
2018,2019,AZ,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,32.1,,,81.5,,18.1,,,,,,,,,,,,,,,,,,,
2018,2019,CA,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,34.6,,,84.8,,21.7,,,,,,,,,,,,,,,,,,,
2018,2019,CO,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,49.0,,,92.1,,23.7,,,,,,,,,,,,,,,,,,,
2018,2019,CT,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,,,,,,,,,,,,,41.1,,,90.6,,20.7,,,,,,,,,,,,,,,,,,,
2018,2019,DC,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,56.5,,,82.2,,9.7,,,,,,,,,,,,,,,,,,,
2018,2019,DE,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,,,,,,,,,,,50.7,,,90.0,,28.1,,,,,,,,,,,,,,,,,,,
2018,2019,FL,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,27.0,,,91.8,,52.9,,,,,,,,,,,,,,,,,,,
2018,2019,GA,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,44.7,,,83.4,,39.4,,,,,,,,,,,,,,,,,,,
2018,2019,HI,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,56.6,,,89.9,,38.6,,,,,,,,,,,,,,,,,,,
2018,2019,IA,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,58.7,,,92.1,,27.5,,,,,,,,,,,,,,,,,,,
2018,2019,ID,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,59.5,,,83.8,,27.3,,,,,,,,,,,,,,,,,,,
2018,2019,IL,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,53.2,,,82.5,,34.0,,,,,,,,,,,,,,,,,,,
2018,2019,IN,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,48.1,,,78.0,,35.1,,,,,,,,,,,,,,,,,,,
2018,2019,KS,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,45.9,,,56.7,,34.2,,,,,,,,,,,,,,,,,,,
2018,2019,KY,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,29.5,,,90.8,,41.6,,,,,,,,,,,,,,,,,,,
2018,2019,LA,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,38.2,,,91.6,,48.9,,,,,,,,,,,,,,,,,,,
2018,2019,MA,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,,,,,,,,,,,,,39.6,,,94.9,,9.4,,,,,,,,,,,,,,,,,,,
2018,2019,MD,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,,,,,,,,,,53.3,,,84.1,,41.6,,,,,,,,,,,,,,,,,,,
2018,2019,ME,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,,,,,,,,,49.0,,,79.0,,27.4,,,,,,,,,,,,,,,,,,,
2018,2019,MI,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,,29.8,,,79.9,,44.6,,,,,,,,,,,,,,,,,,,
2018,2019,MN,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,,,,,,,,,,,,67.4,,,76.4,,27.8,,,,,,,,,,,,,,,,,,,
2018,2019,MO,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,,,,,,,,,,,,49.0,,,81.6,,31.7,,,,,,,,,,,,,,,,,,,
2018,2019,MS,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,37.1,,,85.5,,43.5,,,,,,,,,,,,,,,,,,,
2018,2019,MT,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,43.5,,,85.1,,26.0,,,,,,,,,,,,,,,,,,,
2018,2019,NC,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,52.8,,,83.9,,40.8,,,,,,,,,,,,,,,,,,,
2018,2019,ND,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,,,,,,,,,,,,53.4,,,76.7,,25.5,,,,,,,,,,,,,,,,,,,
2018,2019,NE,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,56.9,,,91.1,,27.7,,,,,,,,,,,,,,,,,,,
2018,2019,NH,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,,,,,,,50.4,,,93.4,,27.9,,,,,,,,,,,,,,,,,,,
2018,2019,NJ,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,46.1,,,87.9,,26.6,,,,,,,,,,,,,,,,,,,
2018,2019,NM,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,,,,,49.8,,,86.7,,38.6,,,,,,,,,,,,,,,,,,,
2018,2019,NV,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,52.0,,,85.5,,31.3,,,,,,,,,,,,,,,,,,,
2018,2019,NY,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,,,,,41.1,,,91.5,,37.3,,,,,,,,,,,,,,,,,,,
2018,2019,OH,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,38.9,,,81.8,,40.9,,,,,,,,,,,,,,,,,,,
